acronym	name	description	homepage	contact	released	administeredBy
LEPAO	Lepidoptera Anatomy Ontology	The Lepidoptera Anatomy Ontology contains terms used for describing the anatomy and phenotype of moths and butterflies in biodiversity research. LEPAO is developed in part by BIOfid (The Specialised Information Service Biodiversity Research).	https://github.com/insect-morphology/lepao	Luis A. Gonzalez-Montana	2023-02-19T18:09:34.000-08:00	https://data.bioontology.org/users/vendetti
KORO	Knowledge Object Reference Ontology	An ontology to define the parts of a Knowledge Object and their relations built using the Basic Formal Ontology and Information Artifact Ontology		Allen Flynn	2018-02-12T00:00:00.000+00:00	https://data.bioontology.org/users/ajflynn
EO	Ethnicity Ontoloy	The Ethnicity Ontology (EO) has been developed by extending the Basic Formal Ontology 2 standard in order to have a common reference for ethnicity concepts for semantic integration of datasets. It attempts to utilise iterated proxy markers for ethnicity such language spoken and interpreter requirements in order to support health care research studies.	http://www.ClinInf.eu	Zayed Tippu	2015-10-12T00:00:00.000+00:00	https://data.bioontology.org/users/harshana_liyanage
EP	Cardiac Electrophysiology Ontology	The Cardiac Electrophysiology Ontology contains terms describing single-channel electrophysiological experiments and data obtained using voltage-clamp, current clamp and fluorescence imaging techniques applied at the cell level and multi-channel fluorescence imaging techniques applied at the cell, tissue and whole heart levels.	http://www.cvrgrid.org	Raimond L. Winslow, PhD	2008-12-10T00:00:00.000-08:00	https://data.bioontology.org/users/sgranite
EOL	Environment Ontology for Livestock	L'ontologie EOL décrit les conditions d'environnement des élevages d'animaux domestiques. Elle décrit plus particulièrement les modalités de l'alimentation, de l'environnement, de la structure des élevages et des systèmes d'élevage		Reichstadt Matthieu	2014-10-22T00:00:00.000+00:00	https://data.bioontology.org/users/mreichstadt
BSAO	Botryllus schlosseri anatomy and development ontology	The first ontology describing the anatomy and the development of Botryllus schlosseri.\r\nWorking group : Lucia Manni, Fabio Gasparini, Kohji Hotta, Katherine J. Ishizuka J,  Lorenzo Ricci, Stefano Tiozzo, Ayelet Voskoboynik, Delphine Dauga	http://www.example.com	Delphine DAUGA	2013-06-27T00:00:00.000-07:00	https://data.bioontology.org/users/Delphine+DAUGA
GAZ	Gazetteer	GAZ is a large, ontologically-oriented resource listing place names which can be treated as instances of environments.	http://environmentontology.github.io/gaz/	Lynne Schriml	2014-09-17T00:00:00.000+00:00	https://data.bioontology.org/users/admin
HUPSON	Human Physiology Simulation Ontology	Large biomedical simulation initiatives, such as the Virtual Physiological Human (VPH), are substantially dependent on controlled vocabularies to facilitate the exchange of information, of data and of models. Hindering these initiatives is a lack of a comprehensive ontology that covers the essential concepts of the simulation domain. \r\nWe propose a first version of a newly constructed ontology, HuPSON, as a basis for shared semantics and interoperability of simulations, of models, of algorithms and of other resources in this domain. The ontology is based on the Basic Formal Ontology, and adheres to the MIREOT principles.	http://www.scai.fraunhofer.de/en/business-research-areas/bioinformatics/downloads.html	Michaela Guendel	2014-04-08T00:00:00.000+00:00	https://data.bioontology.org/users/akodamullil;https://data.bioontology.org/users/maestro
FARMACI	FARMACI AIFA					https://data.bioontology.org/users/stefano.calza
TP4	Oualid	relation familiales 		ZIZI Oualid	2023-07-02T00:00:00.000+00:00	https://data.bioontology.org/users/Oualid
AI	Artificial Intelligence	An ontology for artificial intelligence, specifically focused on generative AI, aiming to support and facilitate new research in this domain by providing a structured representation of key concepts, methods, and technologies.	https://ruslanmv.com/	Ruslan Magana Vsevolodovna	2024-10-24T00:00:00.000+00:00	https://data.bioontology.org/users/ruslanmv
AO	Asthma Ontology	Asthma ontology	http://www.clininf.eu	Stacy Shinneman	2016-03-02T00:00:00.000+00:00	https://data.bioontology.org/users/harshanal
XLMOD	mass spectrometry cross-linking and derivatization reagents	XLMOD is an ontology for cross-linking mass spectrometry reagents and GC-MS derivatization reagents.	https://github.com/HUPO-PSI/mzIdentML/tree/master/cv	Gerhard Mayer	2021-03-24T18:30:42.000-07:00	https://data.bioontology.org/users/mayerg97
SSE	Surgical Secondary Events	Memorial Sloan-Kettering Cancer Center Surgical Secondary Events Ontology (Adverse Events)	https://www.mskcc.org/departments/surgery/surgical-secondary-events-system	Nita McNeil	2013-07-11T00:00:00.000+00:00	https://data.bioontology.org/users/robye
PGHD-BP	PGHD Auxillary - BP	Ontology containing terms describing the ancillary information surrounding the collection of Blood Pressure data and the communication via Interactive Voice Response in the context of the VODAN-Africa project.	https://github.com/RenVit318/pghd	Rens Kievit	2024-05-10T00:00:00.000+00:00	https://data.bioontology.org/users/renvit
EVS	Exposure Value Set	A collection of curated and standardized values used in metadata specifications produced by ADAMS (Accelerating DAta and Metadata Standards in the Environmental Health Sciences Study of Emerging Water Contaminants) group. These values are designed to ensure uniformity in the description of the various metadata standards produced by the group. 		Martin O'Connor	2025-06-20T00:00:00.000+00:00	https://data.bioontology.org/users/martin
INTVEETYPE	Interviewee Type	This class refers to the different types of Interviewees.		Vinutha Venkatesh	2022-12-07T00:00:00.000+00:00	https://data.bioontology.org/users/VinuthaVenkatesh
HCDR	Homelessness and Clinical Data Recording	This ontology utilizes the European Typology of Homelessness and Housing Exclusion (ETHOS), a respected conceptual framework used to define degrees of housing insecurity and homelessness internationally, to conceptualize, define, and link homelessness in SNOMED, Read CTV3, and Read 2 codes to clinical data extraction. The ontology uses the ETHOS as a general framework, leading to endpoints represented by codes from across the three databases. This is useful for researchers and medical professionals seeking to understand how homelessness is represented in clinical data, how homelessness is defined internationally, and what types of services are available for homeless individuals. 		Gavin Arneson	2020-01-21T00:00:00.000+00:00	https://data.bioontology.org/users/ttgavin
EMAPA	Mouse gross anatomy and development, timed	Abstract (i.e. non-stage specific) stage-specific anatomical structures of the mouse.	http://emouseatlas.org/	Terry Hayamizu	2022-11-04T18:05:44.000-07:00	https://data.bioontology.org/users/vendetti
INVERSEROLES	ISO-15926-2_2003_inverseRoles	ISO inverse roles ontology for oil and gas		Nitin	2016-01-08T00:00:00.000+00:00	https://data.bioontology.org/users/Sun+Pharma
PREO	Presence Ontology	The Presence Ontology is a systematic vocabulary of terms with defined relationships that models the encounters taking place every day among providers, patients, and family members or friends in environments such as hospitals and clinics. The Presence Ontology provides a conceptual model for the human experience in medicine. This is a preliminary approach, but further use of methods we have developed here may aid in providing clarity and consensus to topics in healthcare. The ontology is also a model for interdisciplinary collaboration, as it was developed in conjunction with experts from bioinformatics, medicine, anthropology, business, and communication sciences through multiple iterative stages.	http://med.stanford.edu/presence/about.html	Maulik Kamdar	2019-07-27T00:00:00.000+00:00	https://data.bioontology.org/users/maulikkamdar
ICDO	International Classification of Diseases Ontology	A biomedical ontology for logical representation of the terms and relations related to the International Classification of Diseases (ICD)	https://github.com/icdo/ICDO	Ling Wan	2024-04-19T18:07:48.000+00:00	https://data.bioontology.org/users/wanlingeric;https://data.bioontology.org/users/yongqunh%40med.umich.edu
FALDO	Feature Annotation Location Description Ontology 	FALDO is the Feature Annotation Location Description Ontology. It is a simple ontology to describe sequence feature positions and regions as found in GFF3, DBBJ, EMBL, GenBank files, UniProt, and many other bioinformatics resources.\r\n\r\nThe aim of this ontology is to describe the position of a sequence region or a feature. It does not aim to describe features or regions itself, but instead depends on resources such as the Sequence Ontology or the UniProt core ontolgy.	http://biohackathon.org/resource/faldo	FALDO group	2022-09-07T18:25:43.000-07:00	https://data.bioontology.org/users/jervenbolleman
I-ADOPT	I-ADOPT Framework Ontology	The I-ADOPT Framework is an ontology designed to facilitate interoperability between existing variable description models (including ontologies, taxonomy, and structured controlled vocabularies). One of the challenges in representing semantic descriptions of variables is getting people to agree about what they mean when describing the components that define the variables. The I-ADOPT ontology addresses this by providing core components and their relations that can be applied to define machine-interpretable variable descriptions that re-use FAIR vocabulary terms. This first version of the ontology has been developed by a core group of terminology experts and users from the Research Data Alliance (RDA) InteroperAble Descriptions of Observable Property Terminology (I-ADOPT) Working Group.	https://www.rd-alliance.org/group/interoperable-descriptions-observable-property-terminology-wg-i-adopt-wg/wiki/i-adopt-0	Barbara Magagna	2025-05-28T18:06:36.000-07:00	https://data.bioontology.org/users/mabablue
HTN	Hypertension Ontology	The Hypertension Ontology is a realism-based reference ontology for semantically managing clinical data about hypertension. Definitions of hypertension and elevated blood pressure are highly sensitive to context. Thresholds may vary according to population, guidelines, or clinical context. Variations in the clinical interpretation of blood pressure pose challenges to using blood pressure data for cohort identification, semantic data integration across data sets, and semantically enriching clinical data for clinical decision support applications. The Hypertension Ontology provides a framework for connecting clinical data to context-sensitive definitions of elevated blood pressure and hypertension.	https://github.com/aellenhicks/htn_owl	Amanda Hicks	2019-05-20T00:00:00.000+00:00	https://data.bioontology.org/users/vendetti
COID	Combined Ontology for Inflammatory Diseases	A domain ontology for inflammatory diseases, with ICD-10 used as a foundation. Ontology is expanded to include medical therapies, anatomy, and symptoms. With the addition of synonyms and lay terms derived from embedding models.	https://github.com/sap218/coid	Samantha Pendleton	2022-04-20T00:00:00.000+00:00	https://data.bioontology.org/users/sap218
CHMO	Chemical Methods Ontology	CMO, the chemical methods ontology, describes methods used to\r\n\r\n    collect data in chemical experiments, such as mass spectrometry and electron microscopy\r\n    prepare and separate material for further analysis, such as sample ionisation, chromatography, and electrophoresis\r\n    synthesise materials, such as epitaxy and continuous vapour deposition \r\n\r\nIt also describes the instruments used in these experiments, such as mass spectrometers and chromatography columns. It is intended to be complementary to the Ontology for Biomedical Investigations (OBI)., CHMO, describes methods used to collect data in chemical experiments, such as mass spectrometry and electron microscopy prepare and separate material for further analysis, and electrophoresis synthesise materials, such as epitaxy and continuous vapour deposition It also describes the instruments used in these experiments	https://code.google.com/p/rsc-cmo/	Colin Batchelor	2025-10-21T18:01:22.000-07:00	https://data.bioontology.org/users/batchelorc
